Unnamed: 0,number,이름,이미지,종류,원재료,도수,용량,제품 소개,어울리는 음식,양조장명,페이지 링크,sweet,salty,bitter,sour,sparkle,sol,spicy
68,68,그랑꼬또 청수,https://thesool.com/common/imageView.do?targetId=PR00000459&targetNm=PRODUCT,과실주,포도,12.0,750ml,그랑꼬또(GRAND COTEAU)와인은 청정지역을 자랑하는 대부도의 큰 언덕에서 생산한다는 의미를 담고 있습니다. 대부도의 바닷바람과 포도재배에 필요한 천혜입지조건을 갖춘 신토불이 자존심으로 우리입맛에 잘 맞고 음식과의 조화를 이룹니다. 청수는 국내에서 최초로 개발한 포도품종으로 풍부한 과실의 아로마가 뛰어나고 청량감과 미네랄등 과일향이 풍부합니다.,"한식, 중식, 양식, 해산물요리",그린영농조합,http://www.grandcoteau.co.kr,1.0,0.0,0.0,1.0,1.0,0.0,0.0
69,69,그랑티그르 CE2002,https://thesool.com/common/imageView.do?targetId=PR00000400&targetNm=PRODUCT,과실주,캠벨얼리 포도,12.0,750ml,"""그랑티그르CE2002와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 출시와 동시에 와인품평회에서 좋은 성적을 거둠과 동시에 소비자에게도 호응을 받고 있는 제품이다.","캠벨포도 특유의 맑고 청아한 색을 가지고 있는 와인이다. 단맛은 적지만, 특유의 향과 잔잔한 물결과 같은 목 넘김을 가지고 있다. 탄닌감이 적어서 진한 육류보다는 산채 한정식과 같은 다양한 나물 요리가 잘 어울릴 것이다.",월류원,https://shopping.naver.com/fresh/traditionalalcohol/stores/100235003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,그랑티그르 M1988,https://thesool.com/common/imageView.do?targetId=PR00000399&targetNm=PRODUCT,과실주,"캠벨얼리 포도, 오미자",12.0,750ml,"""그랑티그르M1988와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 여기에 오미자를 브랜딩하여 제조사 월류원만의 독창적인 한국와인의 맛을 완성하였다.","캠벨포도 특유의 맑고 청아한 색을 가지고 있는 와인이다. 다섯 가지 맛을 자아내는 오미자가 들어가 매우 독특한 끝 맛이 난다. 단맛은 적지만, 특유의 향과 잔잔한 물결과 같은 목 넘김을 가지고 있다. 탄닌감이 적어서 진한 육류보다는 산채 한정식과 같은 다양한 나물 요리가 잘 어울릴 것이다.",월류원,https://shopping.naver.com/fresh/traditionalalcohol/stores/100235003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,그리움,https://thesool.com/common/imageView.do?targetId=PR00000282&targetNm=PRODUCT,"약주, 청주","국내산 쌀, 누룩, 효모, 정제수",14.000000000000002,700ml,전통 차례주 그리움은 어떠한 첨가물도 들어있지 않고 질 좋은 경기미로만 만들어져 있어 명절 기름진 음식에 어울리는 담백한 차례주이다. 저온 발효와 숙성을 통해 자기 주장이 강하지 않고 드라이하며 향기롭다.,,술샘,http://www.sulseam.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,금과 명주,https://thesool.com/common/imageView.do?targetId=PR00000617&targetNm=PRODUCT,리큐르/기타주류,"사과증류주, 고과당, 사과향, 카라멜",40.0,750ml,경북 의성 사과와 옹기 항아리를 사용해 사과 브랜디의 깊은 맛과 향을 냈다. 사과의 단맛 속에 숨어있던 쌉싸름한 맛과 상큼함을 느낄 수 있으며 중후한 향이 난다.,"다크초콜릿, 아이스크림",㈜한국애플리즈,http://www.applewine.co.kr/,1.0,0.0,1.0,1.0,0.0,0.0,1.0
73,73,금산인삼백주,https://thesool.com/common/imageView.do?targetId=PR00000595&targetNm=PRODUCT,증류주,"국내산쌀 95.8%, 국내산 인삼 4.2%",43.0,500ml,금산에서 자란 5년근 인삼으로 빚은 인삼백주로 은은한 인삼의 청향과 부드러운 맛과 풍미를 전통방법으로 계승한 고급전통주이다.,"문어회증류주는 술 자체만으로도 즐기기에 충분한 경우가 많은데, 문어회는 쫄깃한 씹는 맛도 있고, 향도 진하지 않아 금산인삼주의 술맛을 그대로 느낄 수 있는 음식이라서 좋다.",㈜금산인삼주,www.insamwine.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,금산인삼주 12.5%,https://thesool.com/common/imageView.do?targetId=PR00000351&targetNm=PRODUCT,"약주, 청주","국내산쌀 93.5%, 국내산인삼 6.5%",12.5,360ml,"약효가 뛰어난 5년근 이상 인삼을 사용하여 쌀과 누룩 등의 원료와 천연암반수를 사용하여 저온 발효시킨 양조주로서, 소주에 단순히 인삼을 담가 우려낸 침출주와는 달리 은은한 인삼의 청향과 풍미를 만끽할 수 있다.","고사리나물 고사리나물은 잘 삶아서 깨끗이 씻어 찬물에 하루 동안 불려 팬에 기름을 넉넉히 둘러 볶고, 간장으로 간을 한다. 고사리나물의 부드러운 식감과 구수함은 금산인삼주의 은은한 향과 풍미를 살려준다.",금산인삼주,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,금산인삼주 수삼 500,https://thesool.com/common/imageView.do?targetId=PR00000578&targetNm=PRODUCT,증류주,"국내산 쌀, 국내산 인삼",43.0,500ml, ,"생선회 쫄깃한 식감과 고소한 맛의 생선회 한 점을 먹고 수삼500을 한모금하면 생선회의 비린 맛도 가시고, 인삼향이 오랫동안 입안에 머무른다.",㈜금산인삼주,www.insamwine.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,76,금설,https://thesool.com/common/imageView.do?targetId=PR00000739&targetNm=PRODUCT,증류주,"쌀(국내산)증류원액, 금박(순도97%), 기타과당",35.0,375ml,금가루가 술과 섞여 금싸라기 눈이 내리는 듯 온화하고 따뜻한 순수 100% 증류주이다. 거친맛을 내는 상압증류 방식에 비해 첫 맛은 부드럽고 끝 맛은 깔끔한 감압증류 방식을 사용함으로써 원주 고유의 맛을 최대한 살렸다.,"닭도리탕, 해물찌게",금산인삼주양조장,https://www.insamwine.com/shop/main/index.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,금정산성막걸리,https://thesool.com/common/imageView.do?targetId=PR00000209&targetNm=PRODUCT,탁주,"백미, 밀(누룩), 정제수",8.0,750ml,금정산성막걸리는 술빚기에 적합한 온도와 습도가 유지되는 해발 400m의 청정 환경을 갖춘 금정산성마을에서 제조된다. 깨끗한 자연환경속에서 발효된 자연산 누룩과 250m의 암반수를 사용하여 금정산성 전통 막걸리의 맛을 그대로 느낄 수 있는 알코도수 8도의 100% 국내산 살아있는 쌀막걸리로 누룩 질이 전국 으뜸이며 산수로 술을 빚기 때문에 은은한 향과 구수한 맛이 일품이다.,"파전, 두부김치",금정산성 토산주,http://www.sanmak.kr/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,금풍양조,https://thesool.com/common/imageView.do?targetId=PR00000710&targetNm=PRODUCT,탁주,"정제수, 쌀(강화도), 국, 효모, 밀함유",6.9,750ml,강화도 무농약쌀과 온수리 지하수로 만든 막걸리. 막거리 도수는 양조장을 인수한 1969년을 상징한다.,"홍어무침, 도토리묵무침, 간쟁이무침, 감자전",금풍양조장,https://www.instagram.com/on_sul/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,금휘,https://thesool.com/common/imageView.do?targetId=PR00000579&targetNm=PRODUCT,증류주,"국내산 쌀, 황기, 금나노화된 황금물",35.0,500ml,"양조장이 위치하는 제천 송한리는 조선시대부터 물 좋고 소나무가 번성하며, 한국약초의 본향으로 유명하다. 이 지역에는 황기를 비롯한 약초가 많이 자생하고 있어 이를 이용한 여러 종류의 막걸리와 증류주를 생산하고 있다. 금휘는 순금 99.9%(함량0.23ug)가 함유되어 있고 제천 황기와 국내산 쌀로 빚은 전통증류주로 특히 에너지(氣)가 다량 방출되는 전통 황금주이다.",류산슬 류산슬은 육류와 각종해물을 걸쭉한 소스에 부드럽게 조린 음식으로 맛이 담백해 위에 부담을 주지 않는다. 금휘의 강한 맛을 부드럽게 감싸줄 수 있어 좋은 안주가 된다.,용두산조은술(영),,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,기다림 16,https://thesool.com/common/imageView.do?targetId=PR00000091&targetNm=PRODUCT,탁주,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",9.0,750ml,"기다림 16은 효모가 향기를 생성하는 온도인 16도에서 100일간 저온 발효 시키는 술로써 저온 발효주의 부드러움과 와인과 흡사한 아로마와 부케를 즐길 수 있는 술이다. 특히 흑미는 안토시아닌이 풍부해서 건강하게 마실 수 있는 자연 그대로의 술이다. 누룩을 빚기 위해 100일, 발효숙성을 위해 100일을 기다려 1일 200병만 한정 수량생산하는 프리미엄 막걸리이다. 부산의 시화 동백꽃을 모티브로 하고 동백꽃의 꽃말이기도한 기다을 브랜드로 하였다.","기다림 16은 흑미가 들어가 독특한 색을 가지고 있으며, 색깔만큼이나 입 안의 느낌이 매우 부드럽다. 전체적으로 오미의 조화가 잘 갖춰져 있고 적절한 산미가 음식과의 조화를 잘 받쳐주는 술이다. 흰 막걸리와는 다른 재미를 느낄 수 있다. 동래파전과 함께 마시면 그만이다.",제이케이크래프트,http://gidarim.co.kr/,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,81,기다림 25,https://thesool.com/common/imageView.do?targetId=PR00000090&targetNm=PRODUCT,탁주,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",8.0,750ml,"&quot;기다림 25&quot;는 술을 빚는데 큰 역할을 하는 효모가 좋아하는 온도 25도에서 100일간 발효시킨 술로써 술을 빚는 인간과 자연의 미생물의 조화로 만들어진다.누룩을 빚기 위해 100일, 발효숙성을 위해 100일을 기다려 1일 200병만 한정 수량 생산하는 프리미엄 막걸리이다. 백미, 찹쌀, 곡자(밀누룩), 정제수 이외에 어떠한 인공첨가물이 추가되지 않고 빚어낸다. 부산의 시화 &quot;동백꽃&quot;을 모티브로 하고 동백꽃의 꽃말이기도 한 &quot;기다림&quot;을 브랜드로 하였다.",술을 입에 넣으면 맛있는 산미가 입 전체를 채워 음식을 불러 들이는 맛이다. 여기에 고소한 곡물의 느낌이 함께 뒤섞여 오묘한 조화를 가지고 있다. 술을 마시고 난 후에 매우 깔끔하게 마무리가 되어 상쾌한 느낌을 받을 수 있다. 매운 잡채와 잘 어울린다.,제이케이크래프트,http://gidarim.co.kr/,0.0,0.0,0.0,1.0,0.0,0.0,0.0
82,82,기다림 34,https://thesool.com/common/imageView.do?targetId=PR00000089&targetNm=PRODUCT,탁주,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",12.0,500ml,"""기다림 34""는 공인 사케 소믈리에면서 와인 소믈리에인 조태영 대표가 34세에 처음 출시하고, 양조장의 지번이 34번지에 착안하여 이름 붙여진 프리미엄 막걸리이다. 우수한 자연재료와 뛰어난 양조기술을 바탕으로 동백꽃과 같이 우아한 향기를 내뿜는 명품 막걸리로써 쌀로 만들어진 술이라고 의심할 만큼의 부드러운 목 넘김과 긴 여운을 전해준다. 기다림"" 시리즈를 생산하고 있는 제이케이크래프트는 술의 원재료인 쌀과 누룩에서도 특별함이 있다. 쌀은 바다와 인접해 있는 섬이라 ""해포도""라고 불리는 해포에서 생산하는 ""해포 맑은 쌀""을 사용한다. 부산 내음 가득한 쌀로 부산의 풍부한 햇볕, 맑은 공기, 깨끗한 물의 기운을 술에 담아내고 있다. 누룩은 토종 우리밀인 ""진주 앉은 뱅이 밀""을 사용하여 누룩을 생산하는데 ""기다림"" 제품이 부드럽고 향기로운 비결이기도 하다.",입안의 향미가 일품이다. 물을 많이 혼합하지 않아 도수(12%)가 높지만 약간의 단맛이 술을 독하지 않고 부드러운 촉감을 느끼게 해준다. 마시고 난 뒤에 올라오는 산미가 기름진 음식들과의 궁합을 잘 만들어 주어 어느 하나 흠이 없는 술이다.,제이케이크래프트,http://gidarim.co.kr/,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,기다림 맑은술,https://thesool.com/common/imageView.do?targetId=PR00000279&targetNm=PRODUCT,"약주, 청주","국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",15.0,500ml,"""기다림 맑은술""은 깔끔한 느낌을 유지하면서도 주원료인 찹쌀의 감칠맛을 살린 순하면서도 묵직함을 겸비하고 있는 약주이다. 단어로 정의 할 수 없는 풍부하고 오묘한 향과 맛을 자랑한다. 멥쌀, 찹쌀, 곡자(밀누룩), 정제수 이외에 어떠한 인공첨가물이 추가되지 않고 빚어낸다. 부산의 시화 ""동백꽃""을 모티브로 하고 동백꽃의 꽃말이기도한 ""기다림""을 브랜드로 하였다.",가을의 화창한 하늘에 비친 황금빛 논밭이 생각나는 색. 좋은 곡물로 만든 기분 좋은 잔향이 살짝 느껴진다. 맛을 보면 의외의 반전이 있는데 달콤함이 먼저 치고 나온다는 것. 그리고 산미가 뒤를 이어 후미로 남는다. 다양한 맛이 살아있어서 매칭되는 음식도 여러가지를 즐길 수 있다. 기름진 곱창전골부터 맑은 탕인 연포탕 등도 좋은 궁합이다.,제이케이크래프트,http://gidarim.co.kr/,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84,84,김수한무,https://thesool.com/common/imageView.do?targetId=PR00000820&targetNm=PRODUCT,증류주,"수수(국내산), 누룩(국내산), 효모(국내산), 정제수",39.0,375ml,"김수한무는 한국고량주의 첫 브랜드로 한국인의 무병장수를 기원하는 의미로 만들었다. 한국사람이 한국에서 한국의 수수로 만든 고량주로, 누가, 어디서, 어떻게, 무엇을 넣어서 만들었는지 알 수 있는 고량주는 한국고량주뿐이다.",,한국고량주 농업회사법인,https://smartstore.naver.com/kokao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,김포 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000183&targetNm=PRODUCT,탁주,"쌀, 누룩, 정제수",6.0,750ml,"1962년에 설립하여 현재 66년의 양조장 역사를 자랑하는 경기도 김포의 대표적인 양조장인 김포양조에서 생산한 막걸리이다. 엄선된 원료로 전통적인 비법으로 제조하면서도 위생적인 작업환경과 최첨단 현대시설장비로 제조하고 있다. 우리 몸에 좋은 효모균이 그대로 살아 있으며 자연 발효에 의한 탄산과 어우러져 전통탁주에서 느껴지는 감칠맛, 청량감이 뛰어난 제품이다. 시원한 단맛이 일품이고 탄산과 단맛이 적당하고, 부러운 목 넘김이 특징인 제품이다. 또한 향 또한 매우 좋다는 평가를 받고 있다. 제조사 김포양조는 전통주 제조에 대한 66년의 업력을 지니고 있는 제조사로 전통적인 기법으로 제조하면서도 현대인의 입맛도 사로잡는 제품을 생산하고 있다. 막 지은 밥과 바로 쪄낸 떡을 연상시키는 포근한 향과 은근한 쌀의 향이 어우러진 막걸리이다.","신선한 발효향이 은은하게 올라오고 단맛과 신맛, 쓴맛 등 전체적으로 오미의 조화가 잘 갖춰져 있는 막걸리다. 일반적인 막걸리 알코올 도수로 자극적이지 않고 편하게 즐길 수 있으며, 입 안의 느낌과 목 넘김이 가볍고 산뜻하다. 파전과 잘 어울린다.",김포양조,www.kimpo.co.kr,1.0,0.0,1.0,1.0,1.0,0.0,1.0
86,86,김포별주,https://thesool.com/common/imageView.do?targetId=PR00000313&targetNm=PRODUCT,"약주, 청주","쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",13.0,500ml,"‘김포’란 금을 파는 가게이고 ""예주""란 맛있는 술을 뜻한다.* 즉 금처럼 값지고 맛있는 술을 담아 고객에게 전한다는 의미를 담고 있다. 김포별주는 옅은 필수 아미노산을 다량 함유하고 있어 피로회복을 돕는 전통 약주이며 액당화 원료처리 공법으로 제조되어 맛의 깊이가 탁월한 제품이다. ‘김포별주’는 부드럽고 목 넘김과 단맛, 신맛, 감칠맛이 어우러져 입안에서 다양한 맛을 느낄 수 있는 제품이다. 쌀과 옥수수전분의 액당화처리공법으로 만들어 곡물 향보다는 은은한 과실 향이 난다. 주원료로 옥수수와 쌀의 사용되어 은근한 단맛을 느낄 수 있고 은은한 향취와 산뜻한 뒷맛이 일품이다. * ""김포""란 금을 파는 가게이고 ""별주""란 특별하게 빚은 술을 뜻한다.","맑고 투명한 황금빛의 색을 가지고 있으며, 고소한 옥수수에 달콤함이 섞여 은은한 향이 올라온다. 입에 넣으면 단맛이 입 전체를 꽉 채우지만 시간이 지나면서 바로 사라지고 산미가 자리를 잡아 입 안을 깔끔하게 만들어 준다. 목 넘김이 깔끔하고 입 안이 상쾌한 것이 특징이다. 주꾸미 볶음과 잘 어울린다.",김포양조,http://www.kimpo.co.kr/,1.0,0.0,0.0,1.0,0.0,0.0,0.0
87,87,김포약주,https://thesool.com/common/imageView.do?targetId=PR00000314&targetNm=PRODUCT,"약주, 청주","옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",11.0,750ml,"""김포""란 금을 파는 가게이고 ""예주""란 맛있는 술을 뜻한다. 즉 금처럼 값지고 맛 있는 술을 담아 고객에게 전한다는 의미를 담고 있다. 김포약주는 옅은 황금빛을 보이고 있으며 거부할 수 없는 미묘한 단맛이 확실하게 느껴지는 모난 곳이 없는 친근한 맛을 자아낸다. 미묘한 신맛이 산미를 이끌고 달콤한 향이 은근하게 감돈다.","맑고 투명한 황금빛의 색을 가지고 있으며, 단맛과 신맛 등의 조화가 잘 갖춰 있어 어느 맛 하나 튀지 않는다. 약주류 중에서는 알코올 도수가 낮아(11%) 입 안의 풍미와 목 넘김이 가볍게 느껴진다. 마시고 난 후에도 여운이 길지 않아 누구나 편하게 즐길 수 있는 술이다. 닭백숙 등 양념되지 않은 고기류와 잘 어울린다.",김포양조,http://www.kimpo.co.kr/,1.0,0.0,0.0,1.0,0.0,0.0,0.0
88,88,김포예주,https://thesool.com/common/imageView.do?targetId=PR00000342&targetNm=PRODUCT,"약주, 청주","국내산 쌀, 옥전분",13.0,750ml,"김포란 금을 파는 가게이고 예주란 맛있는 술을 말한다. 즉, 맛있는 술과 부를 함께 담아들인다는 의미이다. 김포예주는 옅은 황금빛을 보이고 있으며 거부할 수 없는 미묘한 단맛이 확실하게 느껴지며 모난 곳이 전혀 없는 친근한 맛이다. 감추어진 신맛이 훌륭한 악센트이며 특징이다. 목 넘김이 부드럽고 마시고 난 후에 속이 따뜻해진다. 원료처리 시 액화하는 과정에서 나오는 곡물 특유의 향(잘 익은 과일향)을 그대로 유지한 것이 특징이다.","숭어회, 회무침, 매운탕 동의보감에 “숭어는 성이 평하고 맛은 달며 독이 없다. 사람의 장를 열어먹은 것을 통하게 하고 오장을 이롭게 할 뿐만아니라 살도 찌개하는 건강식품 구실도 한다. 이 물고기는 진흙을 먹는 까닭에 백가지 약이 기피할 것이 없다”고 되어있다. 숭어는 김포지역이 유명하며 찬바람이 불기 시작하는 11월부터 이듬해 2월까지가 식감이 가장 좋다.",김포양조,http://www.kimpo.co.kr/,1.0,0.0,0.0,1.0,0.0,0.0,0.0
89,89,김포예주 프리미엄,https://thesool.com/common/imageView.do?targetId=PR00000315&targetNm=PRODUCT,"약주, 청주","국내산 쌀, 국, 효모, 젖산, 정제수",13.0,750ml,"""김포""란 금을 파는 가게이고 ""예주""란 맛있는 술을 뜻한다. 즉 금처럼 값지고 맛 있는 술을 담아 고객에게 전한다는 의미를 담고 있다. 김포예주 프리미엄은 옅은 황금빛을 보이고 있으며 거부할 수 없는 미묘한 단맛이 확실하게 느껴지는 모난 곳이 없는 친근한 맛을 자아낸다.","연한 호박색의 약주로 은은한 고소함이 올라오며, 단맛과 쓴맛이 처음에 느껴지고 시간이 지나면서 알코올에 의한 자극이 입 안을 꽉 차게 만든다. 술을 마시고 난 후에 아주 긴 여운이 남는 것이 매력인 술이다. 불고기와 잘 어울린다.",김포양조,http://www.kimpo.co.kr/,1.0,0.0,0.0,1.0,0.0,0.0,0.0
90,90,김포특주,https://thesool.com/common/imageView.do?targetId=PR00000310&targetNm=PRODUCT,"약주, 청주","국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",15.0,375ml,"""김포특주""는 최상급 풀질로 인정 받고 있는 ""김포금쌀""을 원료로 만든 제품이다. 김포특주는 밑술을 만들고 1차, 2차 발효를 거치는 것은 막걸리로 같다. 다만 2차 발효 후 15일 이상 추가로 발효시키고 압착하는 과정을 거치며 비로소 김포특주가 완성된다. 항간에 젊은 충의 입맛을 손쉽게 유혹하기 위해서는 저렴한 인공감미료인 아스파탐이나 저급 물엿을 넣고 술을 빚는 양조장도 있지만 김포특주는 천연감미로 프락토 올리고당으로 제품의 단맛을 냈다.","첫인상은 진한 발효된 맛과 향, 뒷맛은 나풀거리는 가벼움. 결국 진함과 가벼움 모두가 공존하는 약주다. 향이 강한 편이라 진한 한국음식과 잘 어울린다. 감자탕, 김치찌개, 청국장, 매운 제육볶음 등이 대표적이다.",김포금쌀탁주영농조합법인,www.gimporicewine.com,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,까메오 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000088&targetNm=PRODUCT,탁주,"정제수, 쌀, 효모, 누룩, 과당 등",6.0,550ml,"까메오 막걸리는 국내산 쌀을 원료로, 지장수의 미네랄이 풍부하게 함유되어 있는 것이 특징이다. 아스파탐을 넣지 않으며 무첨가제로 빚어 뒤끝 없이 깔끔해 세계인의 입맛을 사로잡은 낙천의 대표 프리미엄 막걸리다. 낙천의 막걸리는 쌀을 지장수에 발효시키고 있다. 황토땅을 판뒤에 물을 붓고 휘저어 인위적으로 채취하는 일반적인 지장수와는 다르게 약천골 지장수는 지질학적으로 5억 7천만년 전 지하145m의 황토암반층에서 자연적으로 생성된 지장수로, 암반층의 미네랄까지 함유하고 ph8.2인 것이 특징이다. 막걸리 원재료중에서도 가장 중요한 ""물맛""은 약천골 지장수로 보장되는 셈이다.",미세하게 올라오는 캐러멜 향기에 산미가 적고 당도가 높고 초콜릿 맛이 나는 것이 특징이다. 다양한 야채와 과실이 혼합된 샐러드와 함께 마시면 좋다.,낙천,http://nakchun.modoo.at/,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,꽃 와인,https://thesool.com/common/imageView.do?targetId=PR00000814&targetNm=PRODUCT,과실주,포도(92%(안동 청수 100%)),11.5,"375ml, 750ml","이육사 시인 고장 마을 주민들이 직접 키운 청포도로 생산한 와인으로, 원료로 쓰이는 품종인 &#039;청수&#039;는 국내에서 개발되어 우리 기후와 풍토에 적합하다.",,264청포도 와이너리,http://264wine.kr/htm/main.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,93,꿀막걸리,https://thesool.com/common/imageView.do?targetId=PR00000193&targetNm=PRODUCT,탁주,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",8.0,750ml,"농업회사법인㈜청산녹수의 ""청산녹수 생탁""에 천연 벌꿀을 가미하여 젊은 여성 소비자가 막걸리에 대한 거부감 없이 쉽게 접할 수 있도록 만든 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다. ㈜청산녹수만의 전통 누룩을 사용하여 전통적인 막걸리 맛을 지키면서 트랜디한 단맛을 자랑하는 제품이다. 청산녹수 꿀막걸리는 ""청산녹수 생탁""에 천연 벌꿀을 가미하여 젊은 여성 소비자가 막걸리에 대한 거부감 없이 쉽게 접할 수 있도록 만든 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다.",독특하게 곡물의 고소함과 유자 향이 섞여 올라온다. 술을 입에 넣으면 단맛은 매우 적고 산미와 쓴맛의 조화가 매우 잘 갖춰져 있다. 목넘김은 매우 부드럽지만 쓴맛이 입 안의 느낌을 묵직하게 만들어 준다. 양념 갈비와 잘 어울린다.,청산녹수,http://www.bluegreenkorea.co.kr,0.0,0.0,1.0,1.0,0.0,0.0,1.0
94,94,꿀샘 16,https://thesool.com/common/imageView.do?targetId=PR00000618&targetNm=PRODUCT,리큐르/기타주류,"정제수, 주정, 설탕, 천연꿀, 생강, 구연산",16.0,375ml,"천연 벌꿀을 넣어 만든 꿀 리큐르로, 적당한 단맛과 향긋한 벌꿀향이 난다. 생강을 침출해 넣어 맛의 단조로움을 없앴다. 도수에 비해 목넘김이 부드럽고 은은하다.","과일샐러드, 가래떡",술샘,http://www.sulseam.com,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95,끌로너와 스위트와인,https://thesool.com/common/imageView.do?targetId=PR00000777&targetNm=PRODUCT,과실주,머루,12.0,750ml,"너와마을 주민이 직접 재배한 유기농, 무농약 머루로 정성스럽게 담근 고급 와인이다.",디저트류,너와마을영동조합,https://smartstore.naver.com/neowavillage,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96,나 와인,https://thesool.com/common/imageView.do?targetId=PR00000645&targetNm=PRODUCT,리큐르/기타주류,국내산 찹쌀 100%,10.0,500ml,"나와인은 비타민E가 풍부해서 항산화작용이 있으며 국내산찹쌀 100%와 지하암반수를 사용하여 무살균, 무첨가, 무방부로 제조한다. 찹쌀의 영양소가 그대로 살아 숨 쉬는 발효주로 최초 발명특허 등록된 효소를 제조공정에 응용함으로써 자연탄산이 생성되어 목 넘김이 부드럽고 맛이 상쾌하다.","주꾸미 참나물무침 끓는 물에 데친 주꾸미와 참나물을 새콤달콤하게 무치면 향긋하고 쌉싸름한 주꾸미참나물무침이 된다. 나물의 고유한 맛도 살리고, 주꾸미로 단백질도 보충할 수 있으며 나와인의 청량감으로 맛도 살릴 수 있다.",영농법인에스비케이조합,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,97,나루 생 막걸리 11.5도,https://thesool.com/common/imageView.do?targetId=PR00000135&targetNm=PRODUCT,탁주,"정제수, 쌀(국내산), 국, 효모(밀함유)",11.5,500ml,"높은 쌀 함유량으로 원재료인 쌀 본연의 단맛을 살려 깔끔한 목넘김을 가지고 있습니다. 묵직한 텍스처, 청사과와 배의 향이 나며 시트러스 계열의 여운이 깊게 남습니다. 무더운 여름, 얼음을 곁들여 온더락으로 마시기 좋은 막걸리입니다.",매콤한 쭈꾸미 볶음류,한강주조,https://hangangbrewery.com/,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,98,나루 생 막걸리 6도,https://thesool.com/common/imageView.do?targetId=PR00000136&targetNm=PRODUCT,탁주,"정제수, 쌀(국내산), 국, 효모(밀함유)",6.0,935ml,원재료인 쌀 본연의 맛을 살려 깔금하게 넘어가는 목넘김이 좋은 인공 감미료 및 천연감미료 무첨가 막걸리입니다. 시간의 지남에 따라 주차별로 맛이 달라져 취향에 맞게 즐기기 좋습니다.,매콤한 쭈꾸미 볶음류,한강주조,https://hangangbrewery.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
