Unnamed: 0,index,이름,이미지 링크,data,종류,도수,용량,taste,food,info,bitter,sweet,sour,sol,spicy,salty,sparkle
47,47,추사 백 25%,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/Lgxu-1629700407692-%EC%B6%94%EC%82%AC%EB%B0%B1-1.jpg,"[추사 백 25%], 어떤 맛을 갖고 있나요?‘추사 백 25%’는 맑고 부드러운 사과 향과 살짝 매운 향을 느낄 수 있는 술이에요.혀를 갖다 대는 순간엔 달콤한 사과의 풍미가 느껴지다가도 부드러운 목 넘김 뒤엔 약간의 작열감이 올라오는데요.전체적으로 맛이 가볍고 여운이 길지 않아서 깔끔하게 즐길 수 있을 거예요.[추사 백 25%], 어떤 음식과 잘 어울리나요?맛과 향이 은은하게 풍기는 ‘추사 백 25%’는 얼음이나 물을 섞지 않고술만을 천천히 음미하며 마시는 것을 추천해드려요.이때 냉장고에 보관 후 시원한 상태로 마시게 되면 더욱더 싱그럽고 깔끔하게 즐길 수 있을 텐데요.향긋한 과실의 풍미와 적당한 알콜감을 느낄 수 있는 술인 만큼 기름진 육류와 함께해 보세요![추사 백 25%], 알고 마시면 더 맛있어요!‘추사 백 25%’은 가을에 수확한 예산 사과로 발효주를 만든 후, 감압식 증류를 통해 만들어지는데요.이렇게 만들어진 증류주는 최소 1년간 숙성 과정을 거친 후에 병에 담기게 됩니다.한편 ‘추사’는 [가을 사과]와 [가을 이야기]라는 뜻과 함께예산이 고향인 추사 김정희 선생의 꺾이지 않는 강한 의지가 담겨있는 이름이랍니다. :)사과의, 사과에 의한, 사과를 위한!사과에 진심인 마음을 담아 만든 부드럽고 달콤한 칵테일재료추사 백 25% 120ml사과주스 60ml사이다 60ml얼음만드는 방법① 투명한 유리컵에 얼음 가득 담기② 추사백 25% 120ml, 사과주스 60ml, 사이다 60ml 넣기③ 민트를 살포시 얹어서 완성해 주세요.",일반증류주,25.0,350ml,‘추사 백 25%’는 맑고 부드러운 사과 향과 살짝 매운 향을 느낄 수 있는 술이에요.혀를 갖다 대는 순간엔 달콤한 사과의 풍미가 느껴지다가도 부드러운 목 넘김 뒤엔 약간의 작열감이 올라오는데요.전체적으로 맛이 가볍고 여운이 길지 않아서 깔끔하게 즐길 수 있을 거예요.,맛과 향이 은은하게 풍기는 ‘추사 백 25%’는 얼음이나 물을 섞지 않고술만을 천천히 음미하며 마시는 것을 추천해드려요.이때 냉장고에 보관 후 시원한 상태로 마시게 되면 더욱더 싱그럽고 깔끔하게 즐길 수 있을 텐데요.향긋한 과실의 풍미와 적당한 알콜감을 느낄 수 있는 술인 만큼 기름진 육류와 함께해 보세요!,"‘추사 백 25%’은 가을에 수확한 예산 사과로 발효주를 만든 후, 감압식 증류를 통해 만들어지는데요.이렇게 만들어진 증류주는 최소 1년간 숙성 과정을 거친 후에 병에 담기게 됩니다.한편 ‘추사’는 [가을 사과]와 [가을 이야기]라는 뜻과 함께예산이 고향인 추사 김정희 선생의 꺾이지 않는 강한 의지가 담겨있는 이름이랍니다. :)사과의, 사과에 의한, 사과를 위한!사과에 진심인 마음을 담아 만든 부드럽고 달콤한 칵테일재료추사 백 25% 120ml사과주스 60ml사이다 60ml얼음만드는 방법① 투명한 유리컵에 얼음 가득 담기② 추사백 25% 120ml, 사과주스 60ml, 사이다 60ml 넣기③ 민트를 살포시 얹어서 완성해 주세요.",0,1,0,0,1,0,0
48,48,추사 애플 와인,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/MDA5-1655865960640-thumb.jpg,"[추사 애플 와인], 어떤 맛을 갖고 있나요?추사 사과와인이 만들어지는 충남 예산은 사과로 유명한 고장입니다.다른 지역 사과보다 당도가 높고 향이 풍부하므로 와인으로 만들게 되면농익은 단맛과 가벼운 신맛을 조화롭게 느낄 수 있습니다.스위트 와인에 가까우므로 밥을 먹고 나서 식후주로 즐기면 딱 좋습니다.[추사 애플 와인], 어떤 음식과 잘 어울리나요?냉장고에 3시간 이상 차갑게 보관한 와인을 개봉한 뒤 공기와의접촉을 5분~10분 정도 충분히 해주신 후에 마시는 것을 추천합니다.안주와 함께 하신다면 찜닭처럼 달콤한 간장베이스의 음식이나,연어나 육회와 같이 담백하면서도 기름진 회 음식과 잘 어울려요!그리고 와인에는 금가루가 들어가 있어서 살짝 흔들어 드셔야 남들보다 많은 금가루를 얻을 수 있답니다 :)[추사 애플 와인], 알고 마시면 더 맛있어요!아름다운 예산 사과밭에서 직접 재배하는 사과를 아이스와인 방식으로 발효시켜물과 알코올이 한 방울도 들어가지 않은 국산 프리미엄 사과와인입니다.한 달간의 저온 발효와 1년 이상 숙성과정을 거치는 이 와인은 추사(秋史), 즉 가을 이야기라는 뜻을 담았는데요.예산에서 태어난 추사 김정희 선생의 삶과 정신그리고 가을처럼 풍성하고 넉넉한 향과 맛이 담긴 예산 사과 와인을 즐겨보세요.",과실주,12.0,375ml,추사 사과와인이 만들어지는 충남 예산은 사과로 유명한 고장입니다.다른 지역 사과보다 당도가 높고 향이 풍부하므로 와인으로 만들게 되면농익은 단맛과 가벼운 신맛을 조화롭게 느낄 수 있습니다.스위트 와인에 가까우므로 밥을 먹고 나서 식후주로 즐기면 딱 좋습니다.,"냉장고에 3시간 이상 차갑게 보관한 와인을 개봉한 뒤 공기와의접촉을 5분~10분 정도 충분히 해주신 후에 마시는 것을 추천합니다.안주와 함께 하신다면 찜닭처럼 달콤한 간장베이스의 음식이나,연어나 육회와 같이 담백하면서도 기름진 회 음식과 잘 어울려요!그리고 와인에는 금가루가 들어가 있어서 살짝 흔들어 드셔야 남들보다 많은 금가루를 얻을 수 있답니다 :)","아름다운 예산 사과밭에서 직접 재배하는 사과를 아이스와인 방식으로 발효시켜물과 알코올이 한 방울도 들어가지 않은 국산 프리미엄 사과와인입니다.한 달간의 저온 발효와 1년 이상 숙성과정을 거치는 이 와인은 추사(秋史), 즉 가을 이야기라는 뜻을 담았는데요.예산에서 태어난 추사 김정희 선생의 삶과 정신그리고 가을처럼 풍성하고 넉넉한 향과 맛이 담긴 예산 사과 와인을 즐겨보세요.",0,1,1,0,1,0,0
49,49,니모메,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/OOKM-1640845223998-nmm0.jpg,"[니모메], 어떤 맛을 갖고 있나요?귤피가 들어간 ‘니모메’는 새콤달콤한 감귤 향을 은은하게 풍기는 살균 약주입니다.곡물의 고소한 맛과 귤피의 향긋한 시트러스 계열의 풍미까지 조화롭게 느낄 수 있는데요.목을 넘긴 후엔 기분 좋은 씁쓸함으로 마무리 짓게 되는 술입니다 :) [니모메], 어떤 음식과 잘 어울리나요?곡물의 고소한 풍미와 귤피 특유의 씁쓸함까지 갖춘 ‘니모메’는다양한 음식과 잘 어울리는 편인데요.특히 간장 양념이 들어간 음식과 잘 어울리며참치, 방어처럼 약간의 지방이 있는 해산물 요리와 함께하기 좋습니다. [니모메], 알고 마시면 더 맛있어요.사랑하는 사람과 마음을 나눠 즐겼으면 하는 바람으로 만들어진 ‘니모메’는제주도 방언으로 '너의 마음에’라는 뜻이 있는데요.술의 의미처럼 마음이 통하는 이들과 너무 가볍지도 너무 무겁지도 않은 한 잔을 즐겨보세요.",살균약주,11.0,375ml,귤피가 들어간 ‘니모메’는 새콤달콤한 감귤 향을 은은하게 풍기는 살균 약주입니다.곡물의 고소한 맛과 귤피의 향긋한 시트러스 계열의 풍미까지 조화롭게 느낄 수 있는데요.목을 넘긴 후엔 기분 좋은 씁쓸함으로 마무리 짓게 되는 술입니다 :) ,"곡물의 고소한 풍미와 귤피 특유의 씁쓸함까지 갖춘 ‘니모메’는다양한 음식과 잘 어울리는 편인데요.특히 간장 양념이 들어간 음식과 잘 어울리며참치, 방어처럼 약간의 지방이 있는 해산물 요리와 함께하기 좋습니다. ",사랑하는 사람과 마음을 나눠 즐겼으면 하는 바람으로 만들어진 ‘니모메’는제주도 방언으로 '너의 마음에’라는 뜻이 있는데요.술의 의미처럼 마음이 통하는 이들과 너무 가볍지도 너무 무겁지도 않은 한 잔을 즐겨보세요.,1,1,1,0,1,0,0
50,50,시나브로 에뚜왈 로제 스파클링,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/rd8m-1628819930188-%E1%84%89%E1%85%B5%E1%84%82%E1%85%A1%E1%84%87%E1%85%B3%E1%84%85%E1%85%A9%20%E1%84%8B%E1%85%A6%E1%84%84%E1%85%AE%E1%84%8B%E1%85%AA%E1%86%AF%20%E1%84%85%E1%85%A9%E1%84%8C%E1%85%A6%20%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1%E1%84%8F%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%86%BC01.jpg,"[시나브로 에뚜왈 로제 스파클링], 어떤 맛을 갖고 있나요?마시자마자 ‘음~ 맛있다!’라는 말이 절로 나오는 스파클링 와인이에요.투명한 병을 통해 비치는 장밋빛깔은 분위기를 내기에도, 선물을 하기에도 부족함이 없는데요.달달한 포도향과 딸기향이 느껴지며 전체적으로 맛이 달콤하고 몽글몽글 피어오르는 탄산덕에와린이도 부담 없이 즐길 수 있을 거예요.단맛뿐만 아니라 산미도 뒤받쳐주기 때문에 ‘침샘 자극’에 주의가 필요하답니다 :)[시나브로 에뚜왈 로제 스파클링], 어떤 음식과 잘 어울리나요?'시나브로 에뚜왈 로제 스파클링'은 본연의 풍미와 탄산감을 잘 느낄 수 있도록냉장고에서 최소 3시간 이상 보관 후 차갑게 마셔야 해요.마시는 동안 온도가 올라가지 않도록 얼음이 당긴 통에 와인을 넣어 차갑게 유지하면 더욱더 좋습니다.음식과 함께할 때는 술을 단독으로 마셔도 부담 없이 마실 수 있는 술이므로견과류나 치즈, 프로슈토, 올리브처럼 가벼운 음식과 즐겨보세요![시나브로 에뚜왈 로제 스파클링], 알고 마시면 더 맛있어요!‘시나브로 에뚜왈 로제 스파클링’에 사용되는 ‘나르샤 포도’는다채로운 꽃 향과 달콤한 풍미가 있는 포도품종인데요.과거 농촌진흥청에 의해 개발됐으며,현재 불휘농장에서 사용되는 ‘나르샤 포도’는 농장에서 직접 재배하여 사용하고 있습니다. :)",과실주,5.0,750ml,"마시자마자 ‘음~ 맛있다!’라는 말이 절로 나오는 스파클링 와인이에요.투명한 병을 통해 비치는 장밋빛깔은 분위기를 내기에도, 선물을 하기에도 부족함이 없는데요.달달한 포도향과 딸기향이 느껴지며 전체적으로 맛이 달콤하고 몽글몽글 피어오르는 탄산덕에와린이도 부담 없이 즐길 수 있을 거예요.단맛뿐만 아니라 산미도 뒤받쳐주기 때문에 ‘침샘 자극’에 주의가 필요하답니다 :)","'시나브로 에뚜왈 로제 스파클링'은 본연의 풍미와 탄산감을 잘 느낄 수 있도록냉장고에서 최소 3시간 이상 보관 후 차갑게 마셔야 해요.마시는 동안 온도가 올라가지 않도록 얼음이 당긴 통에 와인을 넣어 차갑게 유지하면 더욱더 좋습니다.음식과 함께할 때는 술을 단독으로 마셔도 부담 없이 마실 수 있는 술이므로견과류나 치즈, 프로슈토, 올리브처럼 가벼운 음식과 즐겨보세요!","‘시나브로 에뚜왈 로제 스파클링’에 사용되는 ‘나르샤 포도’는다채로운 꽃 향과 달콤한 풍미가 있는 포도품종인데요.과거 농촌진흥청에 의해 개발됐으며,현재 불휘농장에서 사용되는 ‘나르샤 포도’는 농장에서 직접 재배하여 사용하고 있습니다. :)",0,0,0,0,1,0,1
51,51,안동소주 일품 21%,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/sn6G-1620622148859-21.jpg,"불투명 병 -> 투명 병으로 바꼈습니다.[안동소주 일품 21%], 어떤 맛을 갖고 있나요?평소 즐기던 소주에 비해 도수가 살짝 높죠?하지만! 맛을 보면 더욱더 순하게 느껴지실 거예요. 왜냐고요?쌀의 고소한 풍미와 함께 부드럽고 깔끔한 맛을 갖고 있거든요.물론 초록병 소주보단 비싸지만평소 소주를 즐겨 마시는 분들이라면 분명히 좋아하실 거예요.이젠 소주도 맛있게! 마시자구요~[안동소주 일품 21%], 어떤 음식과 잘 어울리나요?기름진 음식을 먹거나 새콤한 음식을 먹은 후에,‘입안을 싹~ 씻겨줬으면 좋겠는데’ 하는 생각 안 드시나요?조금 전에 무슨 음식을 먹었는지 기억도 안 날 만큼 깔끔하게 입안을 씻겨줄 거에요.차가운 상태로 마시면 부드럽고 깔끔한 맛을 상온에 두어 마시면 쌀의 고소한 풍미를더욱 진하게 느낄 수 있을 거예요.[안동소주 일품 21%], 알고 마시면 더 맛있어요!한반도 소주의 고장 안동!그 중 [안동 소주 일품]에서 만들어지는 안동 소주 시리즈는감압식 증류 방식으로 총 2번의 여과 과정을 통해 만들어지는데요.그 덕에 불순물과 잡내를 제거하여 깔끔하게 마실 수 있는 술이 탄생하게 된답니다.",증류식소주,21.0,350ml,평소 즐기던 소주에 비해 도수가 살짝 높죠?하지만! 맛을 보면 더욱더 순하게 느껴지실 거예요. 왜냐고요?쌀의 고소한 풍미와 함께 부드럽고 깔끔한 맛을 갖고 있거든요.물론 초록병 소주보단 비싸지만평소 소주를 즐겨 마시는 분들이라면 분명히 좋아하실 거예요.이젠 소주도 맛있게! 마시자구요~,"기름진 음식을 먹거나 새콤한 음식을 먹은 후에,‘입안을 싹~ 씻겨줬으면 좋겠는데’ 하는 생각 안 드시나요?조금 전에 무슨 음식을 먹었는지 기억도 안 날 만큼 깔끔하게 입안을 씻겨줄 거에요.차가운 상태로 마시면 부드럽고 깔끔한 맛을 상온에 두어 마시면 쌀의 고소한 풍미를더욱 진하게 느낄 수 있을 거예요.",한반도 소주의 고장 안동!그 중 [안동 소주 일품]에서 만들어지는 안동 소주 시리즈는감압식 증류 방식으로 총 2번의 여과 과정을 통해 만들어지는데요.그 덕에 불순물과 잡내를 제거하여 깔끔하게 마실 수 있는 술이 탄생하게 된답니다.,0,1,0,0,0,0,0
52,52,복단지,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/FBZt-1642729015810-2.jpg,"[복단지], 어떤 맛을 갖고 있나요?싱그렇게 올라오는 복분자 향이 마치 달콤한 레드와인을 연상케 하는데요.복분자의 달콤함과 새콤함 산미를 시작으로 고소하고 드라이하게 끝나는 가벼운 술인데요.잔당감도 없는 편이라 깔끔하게 즐길 수 있답니다.[복단지], 어떤 음식과 잘 어울리나요?따뜻한 성질을 가진 복분자는 찬 성질을 가진 돼지고기와 장어와 같은 음식과 잘 어울려요.특히 ‘복단지‘의 산미는 장어의 비릿함과 기름기를 한꺼번에 잡아 준답니다.이 외에도 새콤한 샐러드나 달콤한 디저트와도 잘 어울리는데요.마실 땐 꼭 차갑게 마시는 것을 추천해 드립니다![복단지], 알고 마시면 더 맛있어요!1540년대에 집필된 <수운잡방>에는 설탕 대신 쌀의 함량을 높여당도를 보충하는 제조 방법이 기록되어 있는데요.’복단지‘는 복분자의 부족한 단맛을 쌀을 이용해 높여 만든 술입니다.또한 누룩도 함께 넣어 만들었는데요.그 덕에 과실주가 아닌 약주로 불리게 됐습니다.",약주,14.0,350ml,싱그렇게 올라오는 복분자 향이 마치 달콤한 레드와인을 연상케 하는데요.복분자의 달콤함과 새콤함 산미를 시작으로 고소하고 드라이하게 끝나는 가벼운 술인데요.잔당감도 없는 편이라 깔끔하게 즐길 수 있답니다.,따뜻한 성질을 가진 복분자는 찬 성질을 가진 돼지고기와 장어와 같은 음식과 잘 어울려요.특히 ‘복단지‘의 산미는 장어의 비릿함과 기름기를 한꺼번에 잡아 준답니다.이 외에도 새콤한 샐러드나 달콤한 디저트와도 잘 어울리는데요.마실 땐 꼭 차갑게 마시는 것을 추천해 드립니다!,1540년대에 집필된 <수운잡방>에는 설탕 대신 쌀의 함량을 높여당도를 보충하는 제조 방법이 기록되어 있는데요.’복단지‘는 복분자의 부족한 단맛을 쌀을 이용해 높여 만든 술입니다.또한 누룩도 함께 넣어 만들었는데요.그 덕에 과실주가 아닌 약주로 불리게 됐습니다.,0,1,1,0,1,0,0
53,53,오미로제 연,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/5YHz-1651137039043-1.jpg,"[오미로제 연], 어떤 맛을 갖고 있나요?향에서는 전체적으로 붉은 계열의 과일향이 가볍고 산뜻하게 느껴지는데요.붉은 계열의 과일향이 새콤하게 풍기며 새콤달콤한 맛을 포함한오미자의 5가지 맛을 조화롭게 느낄 수 있는 술이에요. 톡 쏘는 탄산감을 갖춘 술 답게 눈으로 먼저 즐기는 재미도 있으며짧은 여운으로 가볍게 마시기 좋은 술입니다. [오미로제 연], 어떤 음식과 잘 어울리나요?'오미로제 연'은 산미가 강한 편이기에 식전주로 잘 어울리며간단한 샐러드, 카나페, 오픈 샌드위치 등과 가볍게 한 잔하기에도 좋습니다.또한, 식후주로도 마들렌과 같이 부드럽고 버터가 들어간 구운 과자류와도 잘 어울리며,음식으로는 백합찜, 새우 오일 파스타와 함께 하는 것을 추천합니다.[오미로제 연], 알고 마시면 더 맛있어요!'오미로제 연'은 시간과 비용이 많이 드는 프랑스 상파뉴 지방의 전통 방식이 아닌이탈리아의 샤르마 마르티 노티, 샤르마 방식을 사용하는데요.샤르마 방식은 2차 발효를 병에서 진행하는 전통 방식과 다르게커다란 봉인된 탱크통에서 대량으로 진행하기에 시간과 비용을 절약할 수 있으며탄산 주입식 방법보다는 좀 더 섬세한 거품이 생성되어 신선한 풍미를 만들어냅니다.",과실주,8.0,750ml,향에서는 전체적으로 붉은 계열의 과일향이 가볍고 산뜻하게 느껴지는데요.붉은 계열의 과일향이 새콤하게 풍기며 새콤달콤한 맛을 포함한오미자의 5가지 맛을 조화롭게 느낄 수 있는 술이에요. 톡 쏘는 탄산감을 갖춘 술 답게 눈으로 먼저 즐기는 재미도 있으며짧은 여운으로 가볍게 마시기 좋은 술입니다. ,"'오미로제 연'은 산미가 강한 편이기에 식전주로 잘 어울리며간단한 샐러드, 카나페, 오픈 샌드위치 등과 가볍게 한 잔하기에도 좋습니다.또한, 식후주로도 마들렌과 같이 부드럽고 버터가 들어간 구운 과자류와도 잘 어울리며,음식으로는 백합찜, 새우 오일 파스타와 함께 하는 것을 추천합니다.","'오미로제 연'은 시간과 비용이 많이 드는 프랑스 상파뉴 지방의 전통 방식이 아닌이탈리아의 샤르마 마르티 노티, 샤르마 방식을 사용하는데요.샤르마 방식은 2차 발효를 병에서 진행하는 전통 방식과 다르게커다란 봉인된 탱크통에서 대량으로 진행하기에 시간과 비용을 절약할 수 있으며탄산 주입식 방법보다는 좀 더 섬세한 거품이 생성되어 신선한 풍미를 만들어냅니다.",0,1,1,0,1,0,1
54,54,별산,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/sd4u-1621826638915-%EB%B3%84%EC%82%B0.jpg,"[별산], 어떤 맛을 갖고 있나요?‘별산’은 시원한 참외와 요구르트 향을 풍기는 막걸리입니다.새콤달콤한 맛과 구수한 쌀의 여운까지 고루 갖춰 다채로운 맛을 느낄 수 있는데요.탄산이 없어 가볍고 부드러운 질감 덕에 편안하게 마실 수 있는 술입니다 :)[별산], 어떤 음식과 잘 어울리나요?다채로운 맛을 가진 ‘별산’은 다양한 음식과 잘 어울리는데요.그중에서도 매콤하거나 새콤한 음식과 궁합이 잘 맞습니다.새콤달콤한 음료 같은 ‘별산’ 한 잔 들이켜보세요!맵게만 느껴지던 음식이 거짓말처럼 부드럽고 순하게 느껴질 거예요.[별산], 알고 마시면 더 맛있어요!‘별산’에는 양주의 자랑거리 [별산대 놀이]와 [특별한 신맛]이란 의미가 있습니다.쌀을 세 번 담금 하는 삼양주 방법으로 빚는 ‘별산’은감칠맛과 신맛을 강하게 만드는 특별한 주모(어미술)를 사용하게 되는데요.그 덕에 쌀 본연의 단맛과 발효를 통해 얻은 신맛이 잘 어우러지는 ‘별산’이 탄생하였습니다.",탁주,6.5,800ml,‘별산’은 시원한 참외와 요구르트 향을 풍기는 막걸리입니다.새콤달콤한 맛과 구수한 쌀의 여운까지 고루 갖춰 다채로운 맛을 느낄 수 있는데요.탄산이 없어 가볍고 부드러운 질감 덕에 편안하게 마실 수 있는 술입니다 :),다채로운 맛을 가진 ‘별산’은 다양한 음식과 잘 어울리는데요.그중에서도 매콤하거나 새콤한 음식과 궁합이 잘 맞습니다.새콤달콤한 음료 같은 ‘별산’ 한 잔 들이켜보세요!맵게만 느껴지던 음식이 거짓말처럼 부드럽고 순하게 느껴질 거예요.,‘별산’에는 양주의 자랑거리 [별산대 놀이]와 [특별한 신맛]이란 의미가 있습니다.쌀을 세 번 담금 하는 삼양주 방법으로 빚는 ‘별산’은감칠맛과 신맛을 강하게 만드는 특별한 주모(어미술)를 사용하게 되는데요.그 덕에 쌀 본연의 단맛과 발효를 통해 얻은 신맛이 잘 어우러지는 ‘별산’이 탄생하였습니다.,0,1,1,0,1,0,1
55,55,려 증류소주 40%,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/uOc6-1620633119710-%EB%A0%A440.jpg,"[려 증류소주 40%], 어떤 맛을 갖고 있나요?은은하게 풍기는 고구마 향. 산뜻하면서도 입안 가득 퍼지는 기분 좋은 고소함.증류주에서 빠지면 섭섭한 화끈한 작열감까지!40도라서 오히려 더 좋은 술이에요.목 넘김 후에 더욱 풍부하게 올라오는 고구마 풍미를 잊지 말고 경험하세요![려 증류소주 40%], 어떤 음식과 잘 어울리나요?화끈하게 타오르는 작열감을 가진 술인 만큼 기름진 음식과 잘 어울리는데요.한 잔만으로도 기름지게 코팅되어 있었던 입안을 싹 씻겨 내려줄 거예요.높은 도수가 부담스러운 분들은 온더락으로 드셔보세요.얼음 하나 띄었을 뿐인데 더욱더 부드럽고 가볍게 즐길 수 있답니다![려 증류소주 40%], 알고 마시면 더 맛있어요!‘려’라는 이름은 증류소가 위치한 ‘여주’에서 가져온 이름으로여주의 특산물인 검은 말과 증류 소주가 시작된 고려의 ‘려’를 뜻합니다.여주 고구마는 물 빠짐이 좋은 토질과 큰 일교차 덕에 맛이 좋기로 유명한데요.고구마의 깊은 풍미를 살려내기 위해 고구마는 상압식 증류 방법으로쌀은 깔끔한 맛을 위해 감압식 증류 방법을 사용하여 각각의 증류 원액을 만든 후서로 혼합하여 만들게 됩니다.",증류식소주,40.0,375ml,은은하게 풍기는 고구마 향. 산뜻하면서도 입안 가득 퍼지는 기분 좋은 고소함.증류주에서 빠지면 섭섭한 화끈한 작열감까지!40도라서 오히려 더 좋은 술이에요.목 넘김 후에 더욱 풍부하게 올라오는 고구마 풍미를 잊지 말고 경험하세요!,화끈하게 타오르는 작열감을 가진 술인 만큼 기름진 음식과 잘 어울리는데요.한 잔만으로도 기름지게 코팅되어 있었던 입안을 싹 씻겨 내려줄 거예요.높은 도수가 부담스러운 분들은 온더락으로 드셔보세요.얼음 하나 띄었을 뿐인데 더욱더 부드럽고 가볍게 즐길 수 있답니다!,‘려’라는 이름은 증류소가 위치한 ‘여주’에서 가져온 이름으로여주의 특산물인 검은 말과 증류 소주가 시작된 고려의 ‘려’를 뜻합니다.여주 고구마는 물 빠짐이 좋은 토질과 큰 일교차 덕에 맛이 좋기로 유명한데요.고구마의 깊은 풍미를 살려내기 위해 고구마는 상압식 증류 방법으로쌀은 깔끔한 맛을 위해 감압식 증류 방법을 사용하여 각각의 증류 원액을 만든 후서로 혼합하여 만들게 됩니다.,0,0,1,0,1,0,0
56,56,두레앙 22%,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/q4eY-1634536616141-%EB%91%90%EB%A0%88%EC%95%99%2022.jpg,"뚜껑이 잘 안 열리시는 분들은 주방 가위의 톱날 부분을 이용해 보아요 :)[두레앙 22%], 어떤 맛을 갖고 있나요?거봉으로 만든 소주인지 모르고 마셨다면 무슨 향인지 아리송할 정도로포도의 달콤한 향이 미세하게 나는데요.곡물 소주처럼 구수한 맛 보다는 깔끔한 단맛을 자랑한답니다.낮은 도수인 만큼 입안을 자극하지 않고 부드럽게 넘어가서소주를 잘 못 드시는 분들도 편하게 즐길 수 있을 거예요 :) [두레앙 22%], 어떤 음식과 잘 어울리나요?술의 풍미가 강하지 않기 때문에 흔히 소주랑 먹는 안주라면 어느 것이든지 잘 어울리는데요.무거운 안주들보다는 가볍게 먹을 수 있는 해산물이나 야채를 곁들인 볶음 고기류들과 즐기면 좋더라고요! [두레앙 22%], 알고 마시면 더 맛있어요!두레앙 시리즈는 천안의 거봉으로 발효한 와인을 증류해서 만드는데요.이때 사용하는 거봉은 포도 봉지를 씌우며 재배한 덕에 약에 대한 안전성이 높은 편이고요.농약 대신 친환경 방식인 석회보르도액을 사용해요. 증류할 땐 압력을 줄인 후 끓는 점을 낮춰 저온에서 증류하는데요.그 덕에 깔끔하면서도 부드러운 맛을 갖고 있답니다. ",일반증류주,22.0,375ml,거봉으로 만든 소주인지 모르고 마셨다면 무슨 향인지 아리송할 정도로포도의 달콤한 향이 미세하게 나는데요.곡물 소주처럼 구수한 맛 보다는 깔끔한 단맛을 자랑한답니다.낮은 도수인 만큼 입안을 자극하지 않고 부드럽게 넘어가서소주를 잘 못 드시는 분들도 편하게 즐길 수 있을 거예요 :) ,술의 풍미가 강하지 않기 때문에 흔히 소주랑 먹는 안주라면 어느 것이든지 잘 어울리는데요.무거운 안주들보다는 가볍게 먹을 수 있는 해산물이나 야채를 곁들인 볶음 고기류들과 즐기면 좋더라고요! ,두레앙 시리즈는 천안의 거봉으로 발효한 와인을 증류해서 만드는데요.이때 사용하는 거봉은 포도 봉지를 씌우며 재배한 덕에 약에 대한 안전성이 높은 편이고요.농약 대신 친환경 방식인 석회보르도액을 사용해요. 증류할 땐 압력을 줄인 후 끓는 점을 낮춰 저온에서 증류하는데요.그 덕에 깔끔하면서도 부드러운 맛을 갖고 있답니다. ,0,1,0,0,1,0,0
